Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,Hz
Horizontal Scale,781250,,,,,Horizontal Scale,781250
Sample Interval,78.125,,,,,Sample Interval,1562.5
Filter Frequency,7e+07,,,,,Filter Frequency,7e+07
Record Length,100000,,,,,Record Length,5000
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,,10,,,Probe Attenuation,1
Vertical Units,V,,V,,,Vertical Units,NONE
Vertical Offset,0,,0,,,Vertical Offset,0
Vertical Scale,2,,2,,,Vertical Scale,20
Label,,,,,,Label,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.31250e+04,1.96,1.96,2,2,,2.625e+05,-55.05
1.32031e+04,1.96,1.96,2,2.08,,2.641e+05,-52.0406
1.32812e+04,1.96,1.96,2,2,,2.656e+05,-49.0312
1.33594e+04,1.96,1.96,2,2,,2.672e+05,-53.5469
1.34375e+04,1.96,1.96,2,2,,2.687e+05,-58.0594
1.35156e+04,1.96,1.96,2,2,,2.703e+05,-53.5469
1.35937e+04,1.96,1.96,2,2,,2.719e+05,-49.0312
1.36719e+04,1.96,1.96,2,2,,2.734e+05,-52.0406
1.37500e+04,1.96,1.96,2,2,,2.750e+05,-55.05
1.38281e+04,1.96,1.96,2,2,,2.766e+05,-55.05
1.39062e+04,1.96,1.96,2,2,,2.781e+05,-55.05
1.39844e+04,1.96,1.96,2,2,,2.797e+05,-52.0406
1.40625e+04,1.96,1.96,2,2,,2.812e+05,-49.0312
1.41406e+04,1.96,1.96,2,2,,2.828e+05,-52.0406
1.42187e+04,1.96,1.96,2,2,,2.844e+05,-55.05
1.42969e+04,2.04,2.04,2,2,,2.859e+05,-55.05
1.43750e+04,1.96,1.96,2,2,,2.875e+05,-55.05
1.44531e+04,1.96,1.96,2,2,,2.891e+05,-55.05
1.45312e+04,1.96,1.96,2,2,,2.906e+05,-55.05
1.46094e+04,1.96,1.96,2,2,,2.922e+05,-52.0406
1.46875e+04,1.96,1.96,2,2,,2.937e+05,-49.0312
1.47656e+04,1.96,1.96,2,2,,2.953e+05,-52.0406
1.48437e+04,1.96,1.96,2,2,,2.969e+05,-55.05
1.49219e+04,1.96,1.96,2,2,,2.984e+05,-55.05
1.50000e+04,1.96,1.96,2,2,,3.000e+05,-55.05
1.50781e+04,1.96,2.04,2,2,,3.016e+05,-52.0406
1.51562e+04,1.96,1.96,2,1.92,,3.031e+05,-49.0312
1.52344e+04,1.96,1.96,1.92,2,,3.047e+05,-52.0406
1.53125e+04,1.96,1.88,1.84,1.52,,3.062e+05,-55.05
1.53906e+04,1.96,1.96,1.52,1.92,,3.078e+05,-55.05
1.54687e+04,1.88,1.88,1.2,0.8,,3.094e+05,-55.05
1.55469e+04,1.88,1.88,0.8,1.44,,3.109e+05,-55.05
1.56250e+04,1.8,1.8,0.24,-0.32,,3.125e+05,-55.05
