Time (s),Bx (µT),By (µT),Bz (µT)
46.9900016784668,-18.035804748535156,-45.56552505493164,-58.253082275390625
47,-18.135330200195312,-45.39425277709961,-58.93733215332031
47.0099983215332,-18.135330200195312,-44.343997955322266,-60.7840461730957
47.02000045776367,-17.46993064880371,-45.25259780883789,-60.228546142578125
47.029998779296875,-17.487825393676758,-45.40131759643555,-59.243595123291016
47.040000915527344,-17.755395889282227,-45.14609146118164,-58.576560974121094
47.04999923706055,-17.994773864746094,-44.890567779541016,-58.614112854003906
47.060001373291016,-18.128559112548828,-45.15312957763672,-59.32438659667969
47.06999969482422,-17.500267028808594,-44.792510986328125,-59.3603401184082
47.08000183105469,-17.659791946411133,-44.57931900024414,-59.653560638427734
47.09000015258789,-18.023670196533203,-44.61609649658203,-59.534183502197266
47.099998474121094,-18.135330200195312,-44.85694885253906,-58.79930877685547
47.11000061035156,-18.135330200195312,-44.98822784423828,-58.65725326538086
47.119998931884766,-18.61911392211914,-44.882144927978516,-59.54257583618164
47.130001068115234,-18.46639060974121,-44.83523941040039,-60.08047103881836
47.13999938964844,-18.33940887451172,-44.985435485839844,-60.0395393371582
47.150001525878906,-18.681869506835938,-45.332008361816406,-59.59066390991211
47.15999984741211,-17.611589431762695,-45.332008361816406,-60.01683044433594
47.16999816894531,-17.804975509643555,-44.8810920715332,-59.10121536254883
47.18000030517578,-17.886667251586914,-44.748069763183594,-58.30419921875
47.189998626708984,-17.797834396362305,-44.83523941040039,-57.926902770996094
47.20000076293945,-17.817813873291016,-44.84504318237305,-57.990543365478516
47.209999084472656,-18.08538246154785,-44.976322174072266,-58.84287643432617
47.220001220703125,-17.700084686279297,-45.3211555480957,-58.65536880493164
47.22999954223633,-17.829580307006836,-45.13526916503906,-58.22920227050781
47.2400016784668,-18.38184928894043,-44.70780563354492,-58.13334655761719
47.25,-18.64157485961914,-44.82754135131836,-58.843624114990234
47.2599983215332,-18.64157485961914,-44.564979553222656,-59.553897857666016
47.27000045776367,-18.025110244750977,-44.30241394042969,-59.39141082763672
47.279998779296875,-17.832429885864258,-44.039852142333984,-58.24553298950195
47.290000915527344,-18.168148040771484,-44.03491973876953,-57.16544723510742
47.29999923706055,-18.30193328857422,-44.822608947753906,-58.443946838378906
47.310001373291016,-17.514240264892578,-45.2227668762207,-59.303104400634766
47.31999969482422,-17.581621170043945,-45.04740524291992,-59.33421325683594
47.33000183105469,-18.22983169555664,-44.59300231933594,-59.18115997314453
47.34000015258789,-18.925569534301758,-44.225379943847656,-59.26637268066406
47.349998474121094,-18.65799903869629,-44.48794174194336,-59.692535400390625
47.36000061035156,-18.39042854309082,-44.504058837890625,-58.78535079956055
47.369998931884766,-18.48529815673828,-44.41514205932617,-58.46444320678711
47.380001068115234,-18.418987274169922,-44.39307403564453,-58.641700744628906
47.38999938964844,-18.049318313598633,-44.483760833740234,-58.87020492553711
47.400001525878906,-18.584457397460938,-44.35247802734375,-58.01787567138672
47.40999984741211,-18.16355323791504,-44.33846664428711,-59.195831298828125
47.41999816894531,-18.304752349853516,-44.25550842285156,-59.44939041137695
47.43000030517578,-18.591995239257812,-44.17287826538086,-59.02322769165039
