Time (s),A1 (V),A2 (V)
0.13249999284744263,1.600000023841858,1.5809524059295654
0.13375000655651093,1.5970696210861206,1.5875457525253296
0.13500000536441803,1.5992673635482788,1.5897436141967773
0.13625000417232513,1.6021977663040161,1.5963369607925415
0.13750000298023224,1.6058608293533325,1.6036629676818848
0.13875000178813934,1.6124541759490967,1.6043956279754639
0.14000000059604645,1.6175824403762817,1.6102564334869385
0.14124999940395355,1.620512843132019,1.6175824403762817
0.14249999821186066,1.6263736486434937,1.620512843132019
0.14374999701976776,1.6300365924835205,1.6256409883499146
0.14499999582767487,1.633699655532837,1.6285713911056519
0.14624999463558197,1.640293002128601,1.6300365924835205
0.14749999344348907,1.644688606262207,1.6344321966171265
0.14875000715255737,1.6461538076400757,1.6380952596664429
0.15000000596046448,1.649084210395813,1.6527472734451294
